"LIN","Equacao_linear","R2_linear","Equacao_quadratica","R2_quadratica","MET_kg_ha_N","PROD_no_MET_kg_ha"
"Simples","y = 4492 + 10.44x",0.192493746474883,"y = 6936.17 - 71.0322x + 0.543148x²",0.567626280390789,65.3893624275486,4613.79080520514
"Duplas","y = 7384.17 - 23.6611x",0.517665771413389,"y = 4578.75 + 69.8528x - 0.623426x²",0.776416388612696,56.0233179860389,6535.44219082627
